epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.856,1.8474,3.52759,1.51682,0.49534,0.11571,0.10717,0.04248,2.13494,3.88805,1.86425,0.000553444,0.000553444,0.000553444
2,475.976,2.05328,3.31673,1.6798,0.06955,0.07379,0.02822,0.00952,2.31644,4.1529,1.9326,0.00108715,0.00108715,0.00108715
3,725.183,2.16124,3.22221,1.79292,0.06526,0.11745,0.02367,0.01003,2.47444,3.86101,2.11952,0.00159885,0.00159885,0.00159885
4,965.854,2.14781,3.14097,1.77113,0.16666,0.12252,0.05174,0.02262,2.27973,3.07379,1.95503,0.00156798,0.00156798,0.00156798
5,1204.04,2.13415,3.06813,1.79841,0.1643,0.1123,0.0545,0.02523,2.27587,3.29943,1.96185,0.00153497,0.00153497,0.00153497
6,1435.92,2.03487,2.92881,1.71485,0.10942,0.11077,0.06158,0.03287,2.23082,3.47984,1.91157,0.00150197,0.00150197,0.00150197
7,1670.08,2.01829,2.86945,1.70849,0.12328,0.11554,0.06753,0.03572,2.2294,3.13595,1.88061,0.00146896,0.00146896,0.00146896
8,1906.52,1.96837,2.82746,1.67437,0.2568,0.13079,0.09215,0.04898,2.08972,2.77565,1.81332,0.00143595,0.00143595,0.00143595
9,2139.53,1.93478,2.74654,1.63963,0.15339,0.15533,0.08362,0.04389,2.05044,2.7915,1.71911,0.00140295,0.00140295,0.00140295
10,2369.46,1.89869,2.65872,1.63171,0.14101,0.16931,0.06549,0.03428,2.03436,2.72283,1.69722,0.00136994,0.00136994,0.00136994
11,2606.63,1.86703,2.58575,1.59583,0.28447,0.20413,0.12982,0.05528,2.00824,2.724,1.7223,0.00133693,0.00133693,0.00133693
12,2838.76,1.81003,2.51793,1.58219,0.21863,0.16922,0.11124,0.05745,2.00171,2.60504,1.69288,0.00130393,0.00130393,0.00130393
13,3066.54,1.8014,2.4617,1.5588,0.19611,0.1924,0.13426,0.07151,1.97848,2.53306,1.67624,0.00127092,0.00127092,0.00127092
14,3298.62,1.80934,2.50329,1.56468,0.29627,0.16217,0.13283,0.07492,1.89314,2.59244,1.6412,0.00123791,0.00123791,0.00123791
