epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.801,1.8474,3.52759,1.51682,0.49534,0.11571,0.10717,0.04248,2.13494,3.88805,1.86425,0.000553444,0.000553444,0.000553444
2,577.707,2.06459,3.32699,1.69038,0.13094,0.09535,0.05566,0.02249,2.35427,3.82797,2.04181,0.00109813,0.00109813,0.00109813
3,786.075,2.12953,3.21331,1.79022,0.10588,0.08146,0.02634,0.01165,2.37642,4.29435,2.03891,0.00163181,0.00163181,0.00163181
4,1165.16,2.17651,3.15706,1.81723,0.05886,0.09058,0.03387,0.0133,2.43311,3.46821,2.03804,0.00161749,0.00161749,0.00161749
5,1540.66,2.14827,3.07362,1.81517,0.09524,0.07975,0.06485,0.03332,2.31805,3.09265,1.99205,0.00160099,0.00160099,0.00160099
6,1994.72,2.06697,2.95925,1.73486,0.19508,0.1077,0.07164,0.03505,2.19067,3.39642,1.8907,0.00158448,0.00158448,0.00158448
7,3035.38,2.01905,2.88008,1.71522,0.16396,0.10327,0.09811,0.05707,2.18569,3.27148,1.90333,0.00156798,0.00156798,0.00156798
8,3258.98,1.99648,2.84122,1.6909,0.22579,0.12159,0.11184,0.06335,2.1358,2.75874,1.79643,0.00155148,0.00155148,0.00155148
9,3596.13,1.94729,2.77092,1.64881,0.22637,0.14622,0.10008,0.06153,2.07423,2.74715,1.80461,0.00153497,0.00153497,0.00153497
10,3932.41,1.92376,2.70401,1.64326,0.10017,0.1941,0.07141,0.03906,2.07793,2.90046,1.77141,0.00151847,0.00151847,0.00151847
11,4300.26,1.88587,2.62892,1.62616,0.219,0.19257,0.12963,0.07253,1.99771,2.82333,1.74642,0.00150197,0.00150197,0.00150197
12,4607.71,1.83381,2.54691,1.59273,0.19843,0.17681,0.11462,0.06114,1.95948,2.62387,1.69211,0.00148546,0.00148546,0.00148546
